"edit_history_tweet_ids","id","text","withheld","text_token","text_string"
[1597652879162347500],1597652879162347500,"""protest against lockdown intensifies in china | people demand president xi jinping's step down.\n\nif you want to read the full article, please visit our site https://t.co/om7kbp6pcq.\n\n#china #recession #realestatesector #zerocovid #economy #lockdown #globalsupplychain #xijinping https://t.co/4faxh56xtw""",null,"[""protest"",""lockdown"",""intensifies"",""china"",""people"",""demand"",""president"",""xi"",""jinping"",""step"",""want"",""read"",""full"",""article"",""please"",""visit"",""site"",""co"",""om7kbp6pcq"",""china"",""recession"",""realestatesector"",""zerocovid"",""economy"",""lockdown"",""globalsupplychain"",""xijinping"",""co"",""4faxh56xtw""]","protest lockdown intensifies china people demand president jinping step want read full article please visit site om7kbp6pcq china recession realestatesector zerocovid economy lockdown globalsupplychain xijinping 4faxh56xtw"
[1597652378303754200],1597652378303754200,"#newbs\njust because your fav content creator is acting bullish does not mean the bottom is in.. usually it's just a short-term bullish vibe and they're more concerned with consistent content. learn instead of going overkill on signals and hype. \n#investors\n#bearmarket\n#recession",null,"[""newbs"",""fav"",""content"",""creator"",""acting"",""bullish"",""mean"",""bottom"",""usually"",""short"",""term"",""bullish"",""vibe"",""concerned"",""consistent"",""content"",""learn"",""instead"",""going"",""overkill"",""signals"",""hype"",""investors"",""bearmarket"",""recession""]","newbs fav content creator acting bullish mean bottom usually short term bullish vibe concerned consistent content learn instead going overkill signals hype investors bearmarket recession"
[1597651966318051300],1597651966318051300,"""#inflation, #recession fears drive changes in planning departments\n\nhttps://t.co/ts3t0seqzr\n\n\""the effects of inflation are bringing a shift in tactics among #meeting departments and meeting-planning agencies\""\n\n#eventplanning #hospitality""",null,"[""inflation"",""recession"",""fears"",""drive"",""changes"",""planning"",""departments"",""co"",""ts3t0seqzr"",""effects"",""inflation"",""bringing"",""shift"",""tactics"",""among"",""meeting"",""departments"",""meeting"",""planning"",""agencies"",""eventplanning"",""hospitality""]","inflation recession fears drive changes planning departments ts3t0seqzr effects inflation bringing shift tactics among meeting departments meeting planning agencies eventplanning hospitality"
[1597651811577565200],1597651811577565200,"having a plan during a recession will help you navigate the challenges you will face in a down-turned market.\nhere are five tips you may want to follow.\n\n#entrepreneur #smallbusiness #recession #business https://t.co/eyxpkrjmxj",null,"[""plan"",""recession"",""help"",""navigate"",""challenges"",""face"",""turned"",""market"",""five"",""tips"",""may"",""want"",""follow"",""entrepreneur"",""smallbusiness"",""recession"",""business"",""co"",""eyxpkrjmxj""]","plan recession help navigate challenges face turned market five tips may want follow entrepreneur smallbusiness recession business eyxpkrjmxj"
[1597651703033172000],1597651703033172000,"are you saving any money? \n\nthe us savings rate has steadily been declining this past year. \n\nthis is why budgeting and having a plan is so important - you can control your finances it just takes more effort now! \n\nfollow along for tips on how to do so!\n\n#savingmoney #recession https://t.co/emsqbqtklt",null,"[""saving"",""money"",""us"",""savings"",""rate"",""steadily"",""declining"",""past"",""year"",""budgeting"",""plan"",""important"",""control"",""finances"",""takes"",""effort"",""follow"",""along"",""tips"",""savingmoney"",""recession"",""co"",""emsqbqtklt""]","saving money savings rate steadily declining past year budgeting plan important control finances takes effort follow along tips savingmoney recession emsqbqtklt"
[1597651232025346000],1597651232025346000,"certainly more important than helping people in a record breaking #inflation market.  good call. #recession\n\nking charles making plans to restore prince philip's greek family home at cost of £12.3m #smartnews  https://t.co/whozqoy4xx",null,"[""certainly"",""important"",""helping"",""people"",""record"",""breaking"",""inflation"",""market"",""good"",""call"",""recession"",""king"",""charles"",""making"",""plans"",""restore"",""prince"",""philip"",""greek"",""family"",""home"",""cost"",""12"",""3m"",""smartnews"",""co"",""whozqoy4xx""]","certainly important helping people record breaking inflation market good call recession king charles making plans restore prince philip greek family home cost smartnews whozqoy4xx"
[1597651106754343000],1597651106754343000,"""now more than ever, people want to know they can return products if they aren't completely happy!\n\n#amazonseller #amazonfba #ecommerce #ecommercetips #ecommercebusiness #finance #recession https://t.co/bofyd7innt""",null,"[""ever"",""people"",""want"",""know"",""return"",""products"",""completely"",""happy"",""amazonseller"",""amazonfba"",""ecommerce"",""ecommercetips"",""ecommercebusiness"",""finance"",""recession"",""co"",""bofyd7innt""]","ever people want know return products completely happy amazonseller amazonfba ecommerce ecommercetips ecommercebusiness finance recession bofyd7innt"
[1597649700567531500],1597649700567531500,"are we in recession now?\n\n#fed #recession #creditcard #economy https://t.co/j3fu8iwvlh",null,"[""recession"",""fed"",""recession"",""creditcard"",""economy"",""co"",""j3fu8iwvlh""]","recession fed recession creditcard economy j3fu8iwvlh"
[1597649519965274000],1597649519965274000,"""recession or not, it can be easy to give in to all of the negativity you hear on the news and in day-to-day discussions. having a strong foundation and habits in place for a healthy business are great ways to #recession proof your weight loss practice.\n\nhttps://t.co/tchdaslckw""",null,"[""recession"",""easy"",""give"",""negativity"",""hear"",""news"",""day"",""day"",""discussions"",""strong"",""foundation"",""habits"",""place"",""healthy"",""business"",""great"",""ways"",""recession"",""proof"",""weight"",""loss"",""practice"",""co"",""tchdaslckw""]","recession easy give negativity hear news day day discussions strong foundation habits place healthy business great ways recession proof weight loss practice tchdaslckw"
[1597649319875981300],1597649319875981300,"mid or after september 2023 seeds of recession &amp; horrible time may get planted\n\n&amp; it may run till 2027/2029/2033\n\nin short\n\n#horrible_time_ahead\n\n#recession https://t.co/ylvdu570zh",null,"[""mid"",""september"",""2023"",""seeds"",""recession"",""amp"",""horrible"",""time"",""may"",""get"",""planted"",""amp"",""may"",""run"",""till"",""2027"",""2029"",""2033"",""short"",""horrible_time_ahead"",""recession"",""co"",""ylvdu570zh""]","mid september 2023 seeds recession amp horrible time may get planted amp may run till 2027 2029 2033 short horrible_time_ahead recession ylvdu570zh"
[1597649062253453300],1597649062253453300,"that's easy. just like the romans 2000 years ago. \"print money.\"\n\n#bidenomics #recession #inflation https://t.co/enjjf2unjv https://t.co/ejqq4z1h3a",null,"[""easy"",""like"",""romans"",""2000"",""years"",""ago"",""print"",""money"",""bidenomics"",""recession"",""inflation"",""co"",""enjjf2unjv"",""co"",""ejqq4z1h3a""]","easy like romans 2000 years ago print money bidenomics recession inflation enjjf2unjv ejqq4z1h3a"
[1597648747898765300],1597648747898765300,"""with fears of a #recession on the horizon, now is the time to make sure you’re operating as efficiently as possible. reach out for a free operational assessment! 💥\n\nhttps://t.co/jtx6uaorfn\n\n#continuousimprovement\n#projectmanagement""",null,"[""fears"",""recession"",""horizon"",""time"",""make"",""sure"",""operating"",""efficiently"",""possible"",""reach"",""free"",""operational"",""assessment"",""co"",""jtx6uaorfn"",""continuousimprovement"",""projectmanagement""]","fears recession horizon time make sure operating efficiently possible reach free operational assessment jtx6uaorfn continuousimprovement projectmanagement"
[1597648454280675300],1597648454280675300,"""@jimchuong maybe black friday sales are the answer to a #recession. lowering price of goods makes them more affordable, compelling buyers. same for #realestate. when sellers black friday their property, buyers will flock. but real estate is supposed to be an investment. hard to swallow.""",null,"[""jimchuong"",""maybe"",""black"",""friday"",""sales"",""answer"",""recession"",""lowering"",""price"",""goods"",""makes"",""affordable"",""compelling"",""buyers"",""realestate"",""sellers"",""black"",""friday"",""property"",""buyers"",""flock"",""real"",""estate"",""supposed"",""investment"",""hard"",""swallow""]","jimchuong maybe black friday sales answer recession lowering price goods makes affordable compelling buyers realestate sellers black friday property buyers flock real estate supposed investment hard swallow"
[1597647756021096400],1597647756021096400,"💸  us consumer confidence falls in november for 2nd month \n\n#gvwire #news #politics  #california #centralvalley #fresnocounty #inflation #recession #economy #housing #retail #gasprices #carprices #foodprices #costofliving #thefed #mortgagerates \n\nhttps://t.co/yitqynczrq",null,"[""us"",""consumer"",""confidence"",""falls"",""november"",""2nd"",""month"",""gvwire"",""news"",""politics"",""california"",""centralvalley"",""fresnocounty"",""inflation"",""recession"",""economy"",""housing"",""retail"",""gasprices"",""carprices"",""foodprices"",""costofliving"",""thefed"",""mortgagerates"",""co"",""yitqynczrq""]","consumer confidence falls november 2nd month gvwire news politics california centralvalley fresnocounty inflation recession economy housing retail gasprices carprices foodprices costofliving thefed mortgagerates yitqynczrq"
